day,step,power
234,9,1095.1552881758766
234,10,1095.0222816399291
234,11,1094.8892751039812
234,12,1094.7562685680334
234,13,1094.623262032086
234,14,1094.4902554961382
234,15,1094.3572489601902
234,16,1094.2242424242424
234,17,1094.0912358882947
234,18,1093.958229352347
234,19,1093.8252228163994
234,20,1093.6922162804517
234,21,1093.559209744504
234,22,1093.426203208556
234,23,1093.2931966726085
234,24,1093.1601901366607
234,25,1093.0271836007132
234,26,1092.8941770647652
234,27,1092.7611705288175
234,28,1092.6281639928698
234,29,1092.4951574569222
234,30,1092.3621509209745
234,31,1092.229144385027
234,32,1092.096137849079
234,33,1091.9631313131313
234,34,1091.8301247771835
234,35,1091.6971182412356
234,36,1091.5641117052885
234,37,1091.4311051693403
234,38,1091.2980986333928
234,39,1091.165092097445
234,40,1091.0320855614975
234,41,1090.8990790255498
234,42,1090.766072489602
234,43,1090.633065953654
234,44,1090.5000594177066
234,45,1090.3670528817588
234,46,1090.234046345811
234,47,1090.101039809863
234,48,1089.9680332739156
234,49,1089.835026737968
234,50,1089.7020202020203
234,51,1089.5690136660726
234,52,1089.4360071301248
234,53,1089.303000594177
234,54,1089.1699940582296
234,55,1089.0369875222814
234,56,1088.9039809863336
234,57,1088.770974450386
234,58,1088.637967914438
234,59,1088.5049613784904
234,60,1088.371954842543
234,61,1088.2389483065951
234,62,1088.1059417706476
234,63,1087.9729352347
234,64,1087.8399286987524
234,65,1087.7069221628046
234,66,1087.573915626857
234,67,1087.4409090909091
234,68,1087.3079025549614
234,69,1087.1748960190137
234,70,1087.041889483066
234,71,1086.9088829471182
234,72,1086.7758764111704
234,73,1086.6428698752227
234,74,1086.5098633392752
234,75,1086.3768568033277
234,76,1086.2438502673797
234,77,1086.1108437314322
234,78,1085.9778371954844
234,79,1085.8448306595362
234,80,1085.711824123589
234,81,1085.578817587641
234,82,1085.4458110516937
234,83,1085.312804515746
234,84,1085.179797979798
234,85,1085.0467914438502
234,86,1084.9137849079025
234,87,1084.7807783719547
234,88,1084.6477718360072
234,89,1084.5147653000593
234,90,1084.3817587641115
234,91,1084.248752228164
234,92,1084.1157456922165
234,93,1083.9827391562687
234,94,1083.849732620321
234,95,1083.716726084373
235,0,1083.5837195484255
235,1,1083.4507130124778
235,2,1083.31770647653
235,3,1083.1846999405825
235,4,1083.0516934046343
235,5,1082.9186868686868
235,6,1082.7856803327388
235,7,1082.6526737967913
235,8,1082.5196672608436
235,9,1082.3866607248958
235,10,1082.2536541889483
235,11,1082.1206476530008
235,12,1081.9876411170533
235,13,1081.8546345811055
235,14,1081.7216280451578
235,15,1081.5886215092098
235,16,1081.455614973262
235,17,1081.3226084373143
235,18,1081.1896019013666
235,19,1081.0565953654188
235,20,1080.923588829471
235,21,1080.7905822935236
235,22,1080.6575757575758
235,23,1080.524569221628
235,24,1080.3915626856804
235,25,1080.2585561497328
235,26,1080.1255496137849
235,27,1079.9925430778371
235,28,1079.8595365418894
235,29,1079.726530005942
235,30,1079.593523469994
235,31,1079.4605169340462
235,32,1079.3275103980986
235,33,1079.194503862151
235,34,1079.0614973262032
235,35,1078.9284907902554
235,36,1078.795484254308
235,37,1078.66247771836
235,38,1078.5294711824126
235,39,1078.396464646465
235,40,1078.263458110517
235,41,1078.130451574569
235,42,1077.9974450386214
235,43,1077.8644385026737
235,44,1077.7314319667262
235,45,1077.5984254307791
235,46,1077.4654188948318
235,47,1077.332412358884
235,48,1077.1994058229354
235,49,1077.066399286986
235,50,1076.9333927510363
235,51,1076.8003862150888
235,52,1076.6673796791445
235,53,1076.5343731432038
235,54,1076.4013666072622
235,55,1076.268360071314
235,56,1076.1353535353535
235,57,1076.0023469993791
235,58,1075.869340463409
235,59,1075.7363339274625
235,60,1075.6033273915627
235,61,1075.4703208557137
235,62,1075.3373143198514
235,63,1075.2043077838978
235,64,1075.0713012477718
235,65,1074.938294711457
235,66,1074.8052881751885
235,67,1074.672281639264
235,68,1074.539275103981
235,69,1074.4062685694028
235,70,1074.2732620346526
235,71,1074.140255498619
235,72,1074.00724896019
235,73,1073.8742424191312
235,74,1073.7412358787146
235,75,1073.6082293430875
235,76,1073.4752228163995
235,77,1073.3422162995262
235,78,1073.209209780258
235,79,1073.0762032431128
235,80,1072.9431966726086
235,81,1072.8101900654742
235,82,1072.6771834672784
235,83,1072.5441769357997
235,84,1072.4111705288176
235,85,1072.2781642585423
235,86,1072.1451579549075
235,87,1072.0121514022806
235,88,1071.8791443850268
235,89,1071.746136857577
235,90,1071.6131294546242
235,91,1071.4801229809243
235,92,1071.347118241236
235,93,1071.2141154056235
235,94,1071.0811121053846
235,95,1070.9481053371237
